Trial       WBL      RMSE Peak_RMSE   Agg_Obj      Umax      Lmax      CQOF      CKIF       CK1       TOF       TIF        TG      CKBF
  222    50.633   112.876   112.876   197.373    12.923   196.141     0.436   667.710    15.545     0.929     0.814     0.793  1415.127
  223    33.581   124.500   124.500   202.006    16.901   165.757     0.927   480.534    25.863     0.280     0.658     0.966  1250.427
  224    35.825   117.313   117.313   194.371    11.583   267.410     0.915   276.799    12.524     0.288     0.914     0.548  1317.511
  226    43.872   114.278   114.278   195.112    12.534   171.332     0.698   684.939    23.108     0.576     0.712     0.567  2202.599
  227    46.126   102.909   102.909   183.381    10.498   208.230     0.620   452.391    14.477     0.676     0.802     0.868  1963.486
  229    50.133   105.693   105.693   188.945    12.327   177.247     0.552   653.745    15.209     0.611     0.530     0.620  2408.085
  230    46.741   100.493   100.493   181.062    11.601   132.417     0.595   631.472    13.185     0.458     0.850     0.655  2144.294
  232    43.873   117.141   117.141   198.480    16.816   159.974     0.681   579.185    25.645     0.545     0.592     0.592  2049.202
  233    56.806   112.451   112.451   200.588    11.870   173.735     0.425   527.938    13.940     0.612     0.915     0.624  2772.260
  234    35.406   118.183   118.183   195.206    10.974   166.313     0.888   766.098    23.522     0.483     0.761     0.444  1213.148
  235    34.148   115.614   115.614   191.447    13.623   161.980     0.896   567.738    17.279     0.316     0.430     0.576  1040.922
  236    47.119   100.881   100.881   181.726    10.756   185.235     0.618   585.209    13.406     0.338     0.482     0.858  2452.966
  237    47.327   108.810   108.810   190.779    11.699   215.086     0.582   825.737    18.055     0.642     0.728     0.894  1734.093
  238    39.897   113.935   113.935   192.508    13.640   143.963     0.715   752.213    22.889     0.748     0.574     0.073  1062.809
  240    39.289   110.007   110.007   187.542    11.492   166.190     0.764   697.307    19.281     0.523     0.719     0.546  1465.194
  241    44.614    97.862    97.862   176.825    12.620   270.413     0.645   247.175    11.824     0.231     0.419     0.438  1670.813
  242    42.491   106.466   106.466   185.257    12.135   208.479     0.821   625.907    15.843     0.513     0.032     0.043  2641.792
  243    42.351   100.959   100.959   178.900    13.172   280.441     0.753   255.923    10.663     0.147     0.382     0.184  1950.569
  244    43.944   114.475   114.475   195.384    16.770   242.453     0.718   573.004    23.872     0.255     0.061     0.446  2136.521
  245    50.895   113.227   113.227   197.928    12.009   246.863     0.634   419.415    21.364     0.113     0.282     0.056  3841.375
  246    48.873   100.366   100.366   182.250    10.144   266.340     0.522   294.493    11.858     0.554     0.546     0.329  1533.153
  247    54.601   103.397   103.397   189.190    19.562   299.227     0.516   572.300    12.377     0.129     0.304     0.179  3026.386
  248    53.935   106.489   106.489   192.176    10.196   229.767     0.484   631.452    13.431     0.456     0.188     0.088  2331.215
  249    47.920   107.772   107.772   189.951    15.561   283.070     0.651   431.326    16.684     0.781     0.649     0.571  2350.647
  250    40.163   107.973   107.973   185.659    12.668   215.837     0.810   535.741    17.980     0.322     0.546     0.154  1772.769
  251    47.315   112.475   112.475   194.977    11.390   233.086     0.688   213.429    20.645     0.672     0.129     0.158  2563.619
  252    37.121   127.724   127.724   207.718    10.205   244.491     0.938   371.576    41.300     0.305     0.123     0.478  1697.873
  254    45.763   107.768   107.768   188.667    14.433   257.254     0.678   546.508    18.583     0.333     0.404     0.478  2264.370
  256    44.665   108.462   108.462   188.818    15.475   252.562     0.708   495.857    19.253     0.317     0.227     0.363  2216.183
  257    44.062    99.785    99.785   178.622    13.749   250.101     0.723   247.485    12.691     0.087     0.258     0.163  2590.932
  259    45.335   113.321   113.321   194.822    13.898   228.080     0.707   328.573    22.114     0.537     0.463     0.529  2897.689
  260    43.652   101.679   101.679   180.497    13.147   296.088     0.792   216.543    11.973     0.167     0.310     0.153  3312.699
  261    46.918   111.047   111.047   193.102    12.569   237.077     0.677   337.221    20.337     0.548     0.042     0.073  2273.680
